NomMus;Imagen;Sexo;DiaNac;MesNac;AnioNac;DiaDef;MesDef;AnioDef;Pais;Origen;Visitas
"Neil Turbin";https://www.metal-archives.com/images/5/9/6/9/5969_artist.jpg?2443;Hombre;24;12;1963;;;;"Estados Unidos";"Brooklyn, New York City, New York";0
Nergal;https://www.metal-archives.com/images/3/3/33_artist.jpg?4738;Hombre;10;6;1977;;;;Polonia;"Gdynia, Pomerania";0
"Nicholas Barker";https://www.metal-archives.com/images/1/7/5/9/1759_artist.jpg?1838;Hombre;25;4;1973;;;;"Reino Unido";"Chesterfield, Derbyshire, England";0
"Nick Cordle";https://www.metal-archives.com/images/2/1/7/5/21759_artist.jpg?2212;Hombre;8;10;1986;;;;"Estados Unidos";;0
"Nick Holmes";https://www.metal-archives.com/images/2/5/5/3/2553_artist.jpg?0405;Hombre;7;1;1971;;;;"Reino Unido";"Halifax, West Yorkshire, England";0
"Nick Menza";https://www.metal-archives.com/images/2/7/9/0/2790_artist.jpg?5642;Hombre;23;7;1964;21;5;2016;Alemania;"Munich, Bavaria";0
"Nicko McBrain";https://www.metal-archives.com/images/1/1/4/114_artist.jpg?2754;Hombre;5;6;1952;;;;"Reino Unido";"Hackney, London, England";1
"Niclas Etelävuori";https://www.metal-archives.com/images/2/0/2/2/2022_artist.jpg?0808;Hombre;8;11;1971;;;;Finlandia;;0
"Nicole Ansperger";https://www.metal-archives.com/images/5/3/8/6/538680_artist.jpg?3611;Mujer;10;12;1981;;;;Alemania;"Stuttgart, Baden-Württemberg";0
"Nikki Sixx";https://www.metal-archives.com/images/1/5/4/8/15483_artist.jpg?5451;Hombre;11;12;1958;;;;"Estados Unidos";"San Jose, California";0
"Niklas Sundin";https://www.metal-archives.com/images/4/0/1/7/4017_artist.jpg?2453;Hombre;13;8;1974;;;;Suecia;"Gothenburg, Västra Götaland";0
"Olli-Pekka Laine";https://www.metal-archives.com/images/2/0/4/2/2042_artist.jpg?0734;Hombre;;;1973;;;;Finlandia;"Helsinki, Uusimaa";0
Orion;https://www.metal-archives.com/images/3/4/34_artist.jpg?0526;Hombre;2;6;1980;;;;Polonia;"Warsaw, Masovia";1
"Oscar Holleman";https://www.metal-archives.com/images/7/5/8/1/75815_artist.jpg?241;Hombre;;;;;;;"Países Bajos";;0
"Oskar Montelius";https://www.metal-archives.com/images/2/9/5/8/2958_artist.jpg?5849;Hombre;4;5;1980;;;;Suecia;"Falun, Dalarna";0
"Ozzy Osbourne";https://www.metal-archives.com/images/2/0/7/3/2073_artist.jpg?4339;Hombre;3;12;1948;;;;"Reino Unido";"Birmingham, West Midlands, England";0
"Päde Kistler";https://www.metal-archives.com/images/8/4/4/9/8449_artist.jpg?4711;Hombre;;;1975;;;;Suiza;;2
"Pär Sundström";https://www.metal-archives.com/images/2/9/6/4/2964_artist.jpg?0221;Hombre;8;6;1981;;;;Suecia;"Falun, Dalarna";0
"Pasi Koskinen";https://www.metal-archives.com/images/1/2/0/1/1201_artist.jpg?1346;Hombre;;;1972;;;;Finlandia;"Helsinki, Uusimaa";0
"Patrice Guers";https://www.metal-archives.com/images/2/0/0/4/2004_artist.jpg?1801;Hombre;5;9;1969;;;;Francia;"Annecy, Auvergne-Rhône-Alpes";0
"Patrick Meehan";;Hombre;;;;;;;"Reino Unido";;0
"Patrik Jerksten";https://www.metal-archives.com/images/7/7/3/6/7736_artist.jpg?4359;Hombre;19;7;1974;;;;Suecia;"Gothenburg, Västra Götaland";0
"Paul Allender";https://www.metal-archives.com/images/1/7/0/2/1702_artist.jpg?1301;Hombre;17;11;1970;;;;"Reino Unido";"Colchester, Essex, England";0
"Paul Baloff";https://www.metal-archives.com/images/3/0/9/9/3099_artist.jpg?1452;Hombre;25;4;1960;2;2;2002;"Estados Unidos";"Oakland, California";0
"Paul Bostaph";https://www.metal-archives.com/images/2/7/8/278_artist.jpg?0644;Hombre;4;3;1964;;;;"Estados Unidos";"San Francisco, California";0
"Paul Curcio";https://www.metal-archives.com/images/1/0/7/2/107237_artist.jpg?1551;Hombre;;;1944;10;9;2018;"Estados Unidos";"Rochester, New York";0
"Paul Di'Anno";https://www.metal-archives.com/images/1/2/4/124_artist.jpg?5457;Hombre;17;5;1958;;;;"Reino Unido";"London, England";5
"Paul Hammingson";https://www.metal-archives.com/images/1/5/3/7/153757_artist.jpg?2743;Hombre;;;;;;;"Estados Unidos";;0
"Paul Lani";https://www.metal-archives.com/images/1/4/4/6/1446_artist.jpg?0404;Hombre;;;;;;;"Estados Unidos";;0
"Paul Masvidal";https://www.metal-archives.com/images/1/1/6/7/1167_artist.jpg?1607;Hombre;20;1;1971;;;;"Puerto Rico";"San Juan";0
"Paul Ryan";https://www.metal-archives.com/images/1/7/2/5/1725_artist.png?1916;Hombre;;;;;;;"Reino Unido";;0
"Paul Talbot";;Hombre;;;;;;;"Reino Unido";;0
"Paulo Jr.";https://www.metal-archives.com/images/4/4/5/2/4452_artist.jpg?1128;Hombre;30;4;1969;;;;Brasil;"Belo Horizonte, Minas Gerais";0
"Pedro Díaz";https://www.metal-archives.com/images/6/0/8/5/60854_artist.jpg?2532;Hombre;11;10;1971;;;;España;Madrid;0
"Pekka Kasari";https://www.metal-archives.com/images/1/2/4/6/1246_artist.jpg?3155;Hombre;;;1966;;;;Finlandia;;0
"Per Wiberg";https://www.metal-archives.com/images/2/1/6/216_artist.jpg?1445;Hombre;8;6;1968;;;;Suecia;Stockholm;0
"Pete Blakk";https://www.metal-archives.com/images/9/7/7/7/9777_artist.jpg?3819;Hombre;;;;;;;Suecia;;0
"Pete Gill";https://www.metal-archives.com/images/2/3/7/0/2370_artist.jpg?1357;Hombre;9;6;1951;;;;"Reino Unido";"Sheffield, South Yorkshire, England";0
"Pete Sandoval";https://www.metal-archives.com/images/8/8_artist.jpg?4701;Hombre;21;5;1969;;;;"El Salvador";"Santa Ana";0
"Peter Baltes";https://www.metal-archives.com/images/2/1/6/5/21656_artist.jpg?1550;Hombre;4;4;1958;;;;Alemania;"Solingen, North Rhine-Westphalia";0
"Peter Iwers";https://www.metal-archives.com/images/6/2/3/6/6236_artist.jpg?1612;Hombre;15;5;1975;;;;Suecia;Stockholm;0
"Peter Lindgren";https://www.metal-archives.com/images/1/7/7/177_artist.jpg?0459;Hombre;6;3;1973;;;;Suecia;Stockholm;0
"Peter Nordin";https://www.metal-archives.com/images/7/3/2/6/73269_artist.jpg?5348;Hombre;;;;;;;Suecia;"Umeå, Västerbotten";0
"Peter Solley";https://www.metal-archives.com/images/3/1/1/6/31169_artist.jpg?0303;Hombre;19;10;1948;;;;"Reino Unido";"London, England";0
"Peter Steele";https://www.metal-archives.com/images/2/9/2/4/2924_artist.jpg?4138;Hombre;4;1;1962;14;4;2010;"Estados Unidos";"Red Hook, Brooklyn, New York";0
"Peter Tägtgren";https://www.metal-archives.com/images/2/5/2/4/2524_artist.jpeg?2855;Hombre;3;6;1970;;;;Suecia;"Ludvika, Dalarna";0
"Phil Campbell";https://www.metal-archives.com/images/2/8/8/288_artist.jpg?5403;Hombre;7;5;1961;;;;"Reino Unido";"Pontypridd, Mid Glamorgan, Wales";0
"Phil Demmel";https://www.metal-archives.com/images/2/2/5/6/22562_artist.jpg?1437;Hombre;2;4;1967;;;;"Estados Unidos";"Dublin, California";0
"Phil Soussan";https://www.metal-archives.com/images/1/5/1/0/15108_artist.jpg?2225;Hombre;23;6;1961;;;;"Reino Unido";"London, England";0
"Philip Anselmo";https://www.metal-archives.com/images/5/7/4/3/5743_artist.jpg?4844;Hombre;30;6;1968;;;;"Estados Unidos";"New Orleans, Louisiana";0
"Philthy Animal";https://www.metal-archives.com/images/2/3/8/8/2388_artist.jpg?2737;Hombre;21;9;1954;12;11;2015;"Reino Unido";"Chesterfield, Derbyshire, England";0
Quorthon;https://www.metal-archives.com/images/7/1/5/715_artist.jpg?5900;Hombre;17;2;1966;3;6;2004;Suecia;"Hägersten, Stockholm";0
"Rachel Bolan";https://www.metal-archives.com/images/6/8/6/7/68676_artist.jpg?305;Hombre;9;2;1966;;;;"Estados Unidos";"Point Pleasant, New Jersey";0
"Rafael Salzmann";https://www.metal-archives.com/images/4/5/1/0/451023_artist.jpg?5749;Hombre;;;1986;;;;Suiza;Lucerne;0
"Rafi Kirder";https://www.metal-archives.com/images/1/0/0/8/10085_artist.jpg?322;Hombre;;;;;;;Suiza;;0
"Ragne Wahlquist";https://www.metal-archives.com/images/3/2/8/2/3282_artist.jpg?0056;Hombre;23;1;1955;;;;Suecia;Stockholm;0
"Randy Burns";https://www.metal-archives.com/images/3/1/6/2/31624_artist.jpg?2100;Hombre;9;6;1954;;;;"Estados Unidos";"St. Louis, Missouri";0
"Randy Castillo";https://www.metal-archives.com/images/1/5/4/9/15493_artist.jpg?2914;Hombre;18;12;1950;26;3;2002;"Estados Unidos";"Albuquerque, New Mexico";0
"Randy Piper";https://www.metal-archives.com/images/1/5/5/3/15537_artist.jpg?3323;Hombre;13;4;1956;;;;"Estados Unidos";"San Antonio, Texas";0
"Randy Rhoads";https://www.metal-archives.com/images/1/5/0/5/15058_artist.jpg?4842;Hombre;6;12;1956;19;3;1982;"Estados Unidos";"Santa Monica, California";1
"Raymond Herrera";https://www.metal-archives.com/images/7/3/0/730_artist.jpg?0725;Hombre;18;12;1972;;;;"Estados Unidos";"Los Angeles, California";0
"Reed St. Mark";https://www.metal-archives.com/images/8/7/3/6/8736_artist.jpg?2948;Hombre;;;;;;;"Estados Unidos";;0
"Rex Brown";https://www.metal-archives.com/images/5/7/5/3/5753_artist.jpg?5140;Hombre;27;7;1964;;;;"Estados Unidos";"Graham, Texas";0
"Rhys Fulber";https://www.metal-archives.com/images/3/8/5/8/38584_artist.jpg?574;Hombre;10;10;1970;;;;Canadá;"Vancouver, British Columbia";0
"Richard Brunelle";https://www.metal-archives.com/images/1/0/6/1/10614_artist.jpg?445;Hombre;6;9;1964;23;9;2019;"Estados Unidos";"Tampa, Florida";0
"Richard Christy";https://www.metal-archives.com/images/3/0/5/5/3055_artist.jpg?1020;Hombre;1;4;1974;;;;"Estados Unidos";"Fort Scott, Kansas";0
"Rick Hunolt";https://www.metal-archives.com/images/3/9/6/8/3968_artist.jpg?1818;Hombre;1;7;1963;;;;"Estados Unidos";"Berkeley, California";0
"Rick Rozz";https://www.metal-archives.com/images/1/1/9/0/11902_artist.jpg?3912;Hombre;9;1;1967;;;;"Estados Unidos";"New York City, New York";0
"Rick Rubin";https://www.metal-archives.com/images/1/2/3/1/12319_artist.jpg?524;Hombre;10;3;1963;;;;"Estados Unidos";"Long Beach, New York";0
"Rick Wakeman";https://www.metal-archives.com/images/2/9/8/0/29800_artist.jpg?422;Hombre;18;5;1949;;;;"Reino Unido";"Perivale, Middlesex, England";0
"Rickard Bengtsson";https://www.metal-archives.com/images/1/8/5/185_artist.jpg?0304;Hombre;;;;;;;Suecia;;0
"Riku Niemi";https://www.metal-archives.com/images/2/1/8/8/218834_artist.jpg?4117;Hombre;24;11;1967;;;;Finlandia;"Turku, Varsinais-Suomi";0
"Rob Affuso";https://www.metal-archives.com/images/7/0/4/4/70443_artist.jpg?3244;Hombre;1;3;1963;;;;"Estados Unidos";"Newburgh, New York";0
"Rob Caggiano";https://www.metal-archives.com/images/5/9/4/1/5941_artist.jpg?4802;Hombre;7;11;1976;;;;"Estados Unidos";"Bronx, New York City, New York";0
"Rob Dukes";https://www.metal-archives.com/images/2/3/9/4/2394_artist.jpg?1201;Hombre;8;3;1968;;;;"Estados Unidos";"New York City, New York";0
"Rob Halford";https://www.metal-archives.com/images/3/5/3/5/3535_artist.jpg?5324;Hombre;25;8;1951;;;;"Reino Unido";"Birmingham, West Midlands, England";0
"Rob McKillop";https://www.metal-archives.com/images/3/1/4/0/3140_artist.jpg?2906;Hombre;17;7;1962;;;;"Estados Unidos";California;0
"Rob Nicholson";https://www.metal-archives.com/images/2/3/2/2/23222_artist.jpg?4137;Hombre;24;11;1969;;;;"Estados Unidos";"Los Angeles, California";0
"Rob Zombie";https://www.metal-archives.com/images/3/9/0/9/39090_artist.jpg?420;Hombre;12;1;1965;;;;"Estados Unidos";"Haverhill, Massachusetts";0
"Robb Flynn";https://www.metal-archives.com/images/1/4/7/3/14737_artist.jpg?3300;Hombre;19;7;1967;;;;"Estados Unidos";"Oakland, California";0
"Robert Trujillo";https://www.metal-archives.com/images/1/8/1/181_artist.jpg?4212;Hombre;23;10;1964;;;;"Estados Unidos";"Santa Monica, California";0
"Robert Westerholt";https://www.metal-archives.com/images/9/0/3/5/9035_artist.jpg?4031;Hombre;2;1;1975;;;;"Países Bajos";"Waddinxveen, South Holland";1
"Roberto Falcao";https://www.metal-archives.com/images/9/8/2/6/9826_artist.jpg?4410;Hombre;;;;;;;Dinamarca;;0
"Roberto Fioretti";https://www.metal-archives.com/images/3/8/1/8/3818_artist.jpg?5012;Hombre;6;2;1967;;;;Alemania;"Essen, North Rhine-Westphalia";0
"Roberto Laghi";https://www.metal-archives.com/images/5/6/3/9/56394_artist.jpg?0936;Hombre;;;;;;;Suecia;;0
"Robin Graves";https://www.metal-archives.com/images/1/7/4/8/1748_artist.jpg?1540;Hombre;;;1976;;;;"Reino Unido";"Ipswich, Suffolk, England";0
"Rodger Bain";https://www.metal-archives.com/images/5/5/4/2/55429_artist.jpg?0536;Hombre;;;1945;;;;"Reino Unido";;0
"Roland Grapow";https://www.metal-archives.com/images/3/4/4/8/3448_artist.jpg?5719;Hombre;30;8;1959;;;;Alemania;Hamburg;1
"Rolf Pilve";https://www.metal-archives.com/images/1/4/7/8/14784_artist.jpg?3440;Hombre;23;10;1987;;;;Finlandia;"Tampere, Pirkanmaa";0
"Ron Nevison";https://www.metal-archives.com/images/1/8/0/4/180482_artist.jpg?5730;Hombre;3;6;1945;;;;"Estados Unidos";"Philadelphia, Pennsylvania";0
"Ronnie James Dio";https://www.metal-archives.com/images/4/2/8/2/4282_artist.jpg?0825;Hombre;10;7;1942;16;5;2010;"Estados Unidos";"Portsmouth, New Hampshire";0
"Roope Latvala";https://www.metal-archives.com/images/2/0/7/6/2076_artist.jpg?5445;Hombre;25;6;1970;;;;Finlandia;"Helsinki, Uusimaa";0
"Ross Robinson";https://www.metal-archives.com/images/2/1/7/8/21782_artist.jpg?590;Hombre;13;2;1967;;;;"Estados Unidos";"Angleton, Texas";0
"Ross the Boss";https://www.metal-archives.com/images/9/4/7/9/9479_artist.jpg?1829;Hombre;3;1;1954;;;;"Estados Unidos";"Bronx, New York City, New York";0
"Roy Mayorga";https://www.metal-archives.com/images/2/6/1/7/26174_artist.jpg?5908;Hombre;6;4;1970;;;;"Estados Unidos";"New York City, New York";0
"Roy Rowland";https://www.metal-archives.com/images/2/9/0/2/29029_artist.jpg?4110;Hombre;;;;;;;"Reino Unido";;0
"Roy Z";https://www.metal-archives.com/images/3/1/5/2/31520_artist.jpg?083;Hombre;1968;2;;;;;"Estados Unidos";"Los Angeles, California";0
"Rune Höyer";;Hombre;;;;;;;;;0
"Russell Allen";https://www.metal-archives.com/images/5/8/3/8/5838_artist.jpg?0124;Hombre;19;7;1971;;;;"Estados Unidos";"Long Beach, California";0
"Ruud Jolie";https://www.metal-archives.com/images/1/5/5/7/15574_artist.jpg?193;Hombre;19;4;1976;;;;"Países Bajos";"Tilburg, North Brabant";0
"Sal Abruscato";https://www.metal-archives.com/images/2/9/4/1/2941_artist.jpg?0716;Hombre;18;7;1970;;;;"Estados Unidos";"Brooklyn, New York City, New York";0
Salva;https://www.metal-archives.com/images/6/1/0/1/61010_artist.jpg?5325;Hombre;17;4;1969;;;;España;"Leganés, Madrid";0
"Sami Vänskä";https://www.metal-archives.com/images/2/3/2/0/2320_artist.jpg?4630;Hombre;26;9;1976;;;;Finlandia;"Kitee, Pohjois-Karjala";0
"Sami Yli-Sirniö";https://www.metal-archives.com/images/3/3/5/8/3358_artist.jpg?5203;Hombre;10;4;1972;;;;Finlandia;"Helsinki, Uusimaa";0
Sank;https://www.metal-archives.com/images/1/2/3/6/123635_artist.jpg?0439;Hombre;;;;;;;Suecia;;0
"Santeri Kallio";https://www.metal-archives.com/images/2/0/2/7/2027_artist.jpg?0840;Hombre;6;5;1974;;;;Finlandia;"Helsinki, Uusimaa";0
"Sarah Wauquiez";https://www.metal-archives.com/images/3/7/5/0/375073_artist.jpg?1504;Mujer;;;;;;;Suiza;"Bösingen, Fribourg";1
"Sascha Paeth";https://www.metal-archives.com/images/2/1/1/1/2111_artist.jpg?3720;Hombre;9;9;1970;;;;Alemania;"Wolfsburg, Lower Saxony";0
"Scott Atkins";https://www.metal-archives.com/images/1/3/5/3/135331_artist.jpg?3202;Hombre;;;;;;;"Reino Unido";;0
"Scott Burns";https://www.metal-archives.com/images/1/1/7/7/11774_artist.jpg?4547;Hombre;;;;;;;"Estados Unidos";;0
"Scott Clendenin";https://www.metal-archives.com/images/3/0/8/8/3088_artist.jpg?0557;Hombre;17;1;1968;24;3;2015;"Estados Unidos";"Titusville, Florida";0
"Scott Columbus";https://www.metal-archives.com/images/9/5/1/2/9512_artist.jpg?4626;Hombre;10;11;1956;4;4;2011;"Estados Unidos";"Fair Haven, New York";1
"Scott Ian";https://www.metal-archives.com/images/5/9/4/6/5946_artist.jpg?1044;Hombre;31;12;1963;;;;"Estados Unidos";"New York City, New York";0
"Scott Travis";https://www.metal-archives.com/images/3/5/6/2/3562_artist.jpg?0221;Hombre;6;9;1961;;;;"Estados Unidos";"Norfolk, Virginia";0
"Scotti Hill";https://www.metal-archives.com/images/6/8/6/6/68668_artist.jpg?415;Hombre;31;5;1964;;;;"Estados Unidos";"Manhasset, New York";3
"Sean Reinert";https://www.metal-archives.com/images/1/1/7/0/1170_artist.jpg?0216;Hombre;27;5;1971;24;1;2020;"Estados Unidos";"Miami, Florida";0
"Sean Yseult";https://www.metal-archives.com/images/3/9/1/5/39152_artist.jpg?1850;Mujer;6;6;1966;;;;"Estados Unidos";"Raleigh, North Carolina";1
"Sebastian Bach";https://www.metal-archives.com/images/2/6/7/7/26770_artist.jpg?0016;Hombre;3;4;1968;;;;Bahamas;Freeport;0
"Sergio Cisneros";https://www.metal-archives.com/images/5/1/2/0/51204_artist.jpg?3634;Hombre;28;12;1966;;;;España;;0
"Sergio Martínez";https://www.metal-archives.com/images/4/0/9/2/40925_artist.jpg?3304;Hombre;3;8;1977;;;;España;Pinto;0
"Sevan Kirder";https://www.metal-archives.com/images/1/0/0/6/10063_artist.jpg?282;Hombre;9;2;1980;;;;Suiza;;0
Shagrath;https://www.metal-archives.com/images/6/1/5/2/6152_artist.jpg?0427;Hombre;18;11;1976;;;;Noruega;"Jessheim, Viken";0
"Shannon Hamm";https://www.metal-archives.com/images/3/0/7/9/3079_artist.jpg?0011;Hombre;10;12;1967;;;;"Estados Unidos";Texas;0
"Sharlee D'Angelo";https://www.metal-archives.com/images/3/9/6/3/3963_artist.jpg?0110;Hombre;27;4;1973;;;;Suecia;;0
"Sharon den Adel";https://www.metal-archives.com/images/7/5/0/0/7500_artist.jpg?2800;Mujer;12;7;1974;;;;"Países Bajos";"Waddinxveen, South Holland";0
Silenoz;https://www.metal-archives.com/images/6/1/1/8/6118_artist.jpg?0123;Hombre;1;3;1977;;;;Noruega;"Nannestad, Viken";0
"Sime Koch";https://www.metal-archives.com/images/8/4/6/8/8468_artist.jpg?1416;Hombre;12;9;1982;;;;Suiza;"Winterthur, Zürich";0
"Simon Efemey";https://www.metal-archives.com/images/6/4/0/1/64016_artist.jpg?3906;Hombre;;;;;;;"Reino Unido";;0
"S?awek Wies?awski";https://www.metal-archives.com/images/6/8/5/1/68510_artist.jpg?3936;Hombre;27;5;1973;;;;Polonia;;0
"Snowy Shaw";https://www.metal-archives.com/images/7/7/4/9/7749_artist.jpg?3637;Hombre;25;7;1968;;;;Suecia;"Gothenburg, Västra Götaland";0
"Spencer Proffer";https://www.metal-archives.com/images/1/0/7/3/107372_artist.jpg?0210;Hombre;25;12;1948;;;;Alemania;"Munich, Bavaria";0
"Staffan Karlsson";https://www.metal-archives.com/images/4/2/5/1/425175_artist.jpg?2825;Hombre;;;;;;;Suecia;"Halmstad, Halland";0
"Stefan Kaufmann";https://www.metal-archives.com/images/2/1/6/2/21621_artist.jpg?0945;Hombre;4;8;1960;;;;Alemania;"Solingen, North Rhine-Westphalia";0
"Stefan Larsson";;Hombre;;;;;;;Suecia;Stockholm;0
"Stefan Schwarzmann";https://www.metal-archives.com/images/3/4/7/3/3473_artist.jpeg?3339;Hombre;11;11;1965;;;;Alemania;"Erlangen, Bavaria";1
"Stephen Edmondson";https://www.metal-archives.com/images/2/5/7/1/2571_artist.jpg?2704;Hombre;30;12;1969;;;;"Reino Unido";;0
"Stephen van Haestregt";https://www.metal-archives.com/images/6/4/3/2/6432_artist.jpg?5405;Hombre;12;9;1974;;;;"Países Bajos";"Westdorpe, Zeeland";0
"Stet Howland";https://www.metal-archives.com/images/2/2/7/0/22701_artist.jpg?1429;Hombre;14;8;1960;;;;"Estados Unidos";"Duxbury, Massachusetts";0
"Steve DiGiorgio";https://www.metal-archives.com/images/8/0/8/808_artist.jpg?4450;Hombre;7;11;1967;;;;"Estados Unidos";"Waukegan, Illinois";0
"Steve Evetts";https://www.metal-archives.com/images/6/9/0/7/69073_artist.jpg?5910;Hombre;;;;;;;"Estados Unidos";"Los Angeles, California";1
"Steve Harris";https://www.metal-archives.com/images/1/0/5/105_artist.jpg?0024;Hombre;12;3;1956;;;;"Reino Unido";"Leytonstone, London, England";0
"Steve Riley";https://www.metal-archives.com/images/1/7/8/0/17805_artist.jpg?0007;Hombre;22;1;1956;;;;"Estados Unidos";"Revere, Massachussets";0
"Steve Souza";https://www.metal-archives.com/images/7/4/9/749_artist.jpg?2709;Hombre;24;3;1964;;;;"Estados Unidos";"Oakland, California";0
"Steve Thompson";https://www.metal-archives.com/images/3/1/3/5/31350_artist.jpg?4534;Hombre;24;4;1952;;;;"Reino Unido";"Consett, County Durham";0
"Steve Tucker";https://www.metal-archives.com/images/3/8/2/0/3820_artist.jpg?0349;Hombre;12;3;1971;;;;"Estados Unidos";"Cincinnati, Ohio";0
"Steven Wilson";https://www.metal-archives.com/images/1/7/2/9/17295_artist.jpeg?0833;Hombre;3;11;1967;;;;"Reino Unido";"Hemel Hempstead, Hertfordshire, England";0
"Stian Aarstad";https://www.metal-archives.com/images/7/0/2/5/7025_artist.jpg?4241;Hombre;;;;;;;Noruega;;0
"Stuart Anstis";https://www.metal-archives.com/images/1/7/3/1/1731_artist.jpeg?5236;Hombre;2;5;1974;21;8;2022;"Reino Unido";"Bideford, Devon, England";0
"Synyster Gates";https://upload.wikimedia.org/wikipedia/commons/c/c4/20180603_N%C3%BCrnberg_Rock_im_Park_Avenged_Sevenfold_0744.jpg;Hombre;7;7;1981;;;;"Estados Unidos";"Long Beach, California";0
"Tarja Turunen";https://www.metal-archives.com/images/2/3/0/9/2309_artist.jpg?3831;Mujer;17;8;1977;;;;Finlandia;"Kitee, Pohjois-Karjala";0
"Tero Kinnunen";https://www.metal-archives.com/images/9/1/3/0/9130_artist.jpg?4725;Hombre;1;6;1973;;;;Finlandia;"Kitee, Pohjois-Karjala";0
"Terry Butler";https://www.metal-archives.com/images/3/6/5/9/3659_artist.jpg?3739;Hombre;10;11;1967;;;;"Estados Unidos";"Palatka, Florida";0
"Terry Date";https://www.metal-archives.com/images/1/4/4/2/1442_artist.jpg?1342;Hombre;31;1;1956;;;;"Estados Unidos";"Lansing, Michigan";1
"The Rev";https://upload.wikimedia.org/wikipedia/commons/2/20/James_Owen_Sulivan.jpg;Hombre;9;2;1981;28;12;2009;"Estados Unidos";"Huntington Beach, California";0
"Thobbe Englund";https://www.metal-archives.com/images/7/9/4/2/794285_artist.jpg?4818;Hombre;13;8;1979;;;;Suecia;"Lappträsk, Haparanda, Norrbotten";0
"Thomas Miller";https://www.metal-archives.com/images/5/8/5/4/5854_artist.jpg?2851;Hombre;;;;;;;"Estados Unidos";"Los Angeles, California";0
"Thomen Stauch";https://www.metal-archives.com/images/4/0/0/6/4006_artist.jpg?5206;Hombre;11;3;1970;;;;Alemania;"Krefeld, North Rhine-Westphalia";0
"Tim Palmer";https://www.metal-archives.com/images/1/0/7/6/10769_artist.jpg?0529;Hombre;4;10;1962;;;;"Reino Unido";"North Shields, Tyne and Wear, England";0
"Timi ";;Hombre;;;;;;;Malasia;;0
"Timo Kotipelto";https://www.metal-archives.com/images/3/6/6/8/3668_artist.jpg?5929;Hombre;15;3;1969;;;;Finlandia;"Lappajärvi, Etelä-Pohjanmaa";0
"Timo Tolkki";https://www.metal-archives.com/images/3/7/1/7/3717_artist.jpg?5103;Hombre;3;3;1966;;;;Finlandia;"Nurmijärvi, Uusimaa";0
Tjodalv;https://www.metal-archives.com/images/6/1/4/0/6140_artist.jpg?0424;Hombre;22;2;1976;;;;Noruega;"Jessheim, Viken";0
"Tom Allom";https://www.metal-archives.com/images/6/9/5/0/69503_artist.jpg?2228;Hombre;;;;;;;"Reino Unido";;0
"Tom Araya";https://www.metal-archives.com/images/2/6/2/262_artist.jpg?2235;Hombre;6;6;1961;;;;Chile;"Viña del Mar, Valparaíso";0
"Tom G. Warrior";https://www.metal-archives.com/images/6/4/9/7/6497_artist.jpg?4918;Hombre;19;7;1963;;;;Suiza;Zurich;0
"Tom Hunting";https://www.metal-archives.com/images/3/0/2/9/3029_artist.jpg?0307;Hombre;10;4;1965;;;;"Estados Unidos";"Richmond, California";0
"Tom Werman";https://www.metal-archives.com/images/7/3/6/2/73628_artist.jpg?3443;Hombre;;;1945;;;;"Estados Unidos";"Boston, Massachusetts";0
"Tomas Haake";https://www.metal-archives.com/images/7/2/9/3/7293_artist.jpg?4810;Hombre;13;7;1971;;;;Suecia;"Örnsköldsvik, Västernorrland";0
"Tomas Skogsberg";https://www.metal-archives.com/images/1/6/0/5/16051_artist.jpg?2928;Hombre;29;2;1960;;;;Suecia;Stockholm;0
"Tomi Joutsen";https://www.metal-archives.com/images/2/0/1/1/2011_artist.jpg?0901;Hombre;30;4;1975;;;;Finlandia;"Lohja, Uusimaa";0
"Tomi Koivusaari";https://www.metal-archives.com/images/1/2/2/5/1225_artist.jpg?0819;Hombre;11;4;1973;;;;Finlandia;;0
"Tommy Aldridge";https://www.metal-archives.com/images/7/9/6/2/7962_artist.jpg?2612;Hombre;15;8;1950;;;;"Estados Unidos";"Pearl, Mississippi";0
"Tommy Hansen";https://www.metal-archives.com/images/6/0/0/9/60094_artist.jpg?4748;Hombre;;;1952;;;;Dinamarca;;0
"Tommy Johansson";https://www.metal-archives.com/images/3/5/1/9/35194_artist.jpg?1104;Hombre;26;10;1987;;;;Suecia;"Boden, Norrbotten";0
"Tommy Lee";https://www.metal-archives.com/images/1/5/4/8/15488_artist.jpg?5229;Hombre;3;10;1962;;;;Grecia;"Athens, Attica";0
"Tommy Newton";https://www.metal-archives.com/images/3/0/8/7/30871_artist.gif?594;Hombre;1;7;1957;;;;Alemania;"Stuttgart, Baden-Württemberg";0
"Tommy T. Baron";https://www.metal-archives.com/images/2/3/3/1/23317_artist.jpg?0037;Hombre;8;7;1967;;;;Suiza;Zürich;0
"Tommy Tägtgren";https://www.metal-archives.com/images/6/4/0/5/64051_artist.jpg?2241;Hombre;3;9;1965;;;;Suecia;;0
"Tony Iommi";https://www.metal-archives.com/images/2/1/9/0/2190_artist.jpg?4622;Hombre;19;2;1948;;;;"Reino Unido";"Birmingham, West Midlands, England";0
"Tony Platt";https://www.metal-archives.com/images/4/8/6/7/48674_artist.jpg?0211;Hombre;;;;;;;"Reino Unido";;0
"Tony Richards";https://www.metal-archives.com/images/1/7/7/8/17789_artist.jpg?2746;Hombre;19;6;1957;;;;"Estados Unidos";"Scottsdale, Arizona";0
